SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
CONSTANTINE WINES INC,LIQUOR,119.78999999999999,70.96,48.83
DANGEROUS WINE GROUP LLC,WINE,113.94,11.940000000000001,102.0
VERMONT HARD CIDER COMPANY LLC,KEGS,113.0,0.0,113.0
DUVEL MOORTGAT USA LTD,KEGS,108.0,0.0,108.0
HOUTON PURVEYORS LLC,WINE,106.0,0.0,106.0
KYSELA PERE ET FILS LTD,KEGS,105.0,0.0,105.0
GRAPES & BARLEY LLC,BEER,104.3,47.3,57.0
KATCEF BROTHERS INC,LIQUOR,102.89,102.89,0.0
MCNEILL INDEPENDENT SPIRIT CREATORS LLC,LIQUOR,102.78,102.78,0.0
EASTERN LIQUOR DISTRIBUTORS INC,WINE,101.13,29.13,72.0
THE BROOKLYN BREWERY CORPORATION,KEGS,101.0,0.0,101.0
TROEGS BREWING COMPANY,KEGS,101.0,0.0,101.0
CARROLL CREEK WHISKEY LLC,LIQUOR,100.01,100.01,0.0
CASA CHIRICO LLC,WINE,98.0,0.0,98.0
BANVILLE & JONES WINE MERCHANTS,BEER,96.45,49.45,47.0
ROBERT GIRAUD,WINE,95.48,91.48,4.0
SUGARLOAF MOUNTAIN SUNLIGHT VINEYARD LLC,WINE,95.38,83.38,12.0
AMERICAN FIDELITY TRADING,LIQUOR,94.7,79.7,15.0
AMERICAN BEVERAGE CORPORATION,WINE,94.69,47.69,47.0
LYON DISTILLING COMPANY LLC,LIQUOR,94.16,90.16,4.0
